oracle-run: started_at=2026-05-09T02:28:41+02:00
oracle-run: root=/home/t4ce/REPOS/TRUEOS
oracle-run: out_dir=/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland
oracle-run: render_nodes=total 0;lrwxrwxrwx 1 root root  8 May  7 23:32 pci-0000:00:02.0-card -> ../card1;lrwxrwxrwx 1 root root 13 May  7 23:32 pci-0000:00:02.0-render -> ../renderD128;lrwxrwxrwx 1 root root  8 May  7 23:32 pci-0000:01:00.0-card -> ../card2;lrwxrwxrwx 1 root root  8 May  7 23:31 pci-0000:01:00.0-platform-simple-framebuffer.0-card -> ../card0;lrwxrwxrwx 1 root root 13 May  7 23:32 pci-0000:01:00.0-render -> ../renderD129;
oracle-run: lspci=00:02.0 Display controller [0380]: Intel Corporation Raptor Lake-S GT1 [UHD Graphics 770] [8086:a780] (rev 04)
/home/t4ce/REPOS/TRUEOS/tools/intel_userland_oracle/sentinel.comp
oracle-run: build_ok=1
oracle-run: env MESA_VK_DEVICE_SELECT=8086:a780
oracle-run: env VK_LOADER_DRIVERS_SELECT=*intel*
oracle-run: env TRUEOS_ORACLE_VK_DEVICE_ID=0xA780
oracle-run: env TRUEOS_ORACLE_MAX_DUMP_BYTES=0
oracle-run: env TRUEOS_ORACLE_TRACE_STACKS=1
oracle-run: env TRUEOS_ORACLE_STACK_DEPTH=64
oracle-run: env TRUEOS_ORACLE_TRACE_SNAPSHOTS=1
oracle-run: env TRUEOS_ORACLE_REQUIRE_HW=0
oracle-run: hw_mmio=attempt-sudo-noninteractive
sudo-rs: interactive authentication is required
oracle-run: hw_mmio_sampler_unavailable reason=sudo-noninteractive-failed log=/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/hw_mmio_log.txt
trace-stack seq=12 tag=close frame=0 pc=0x7859510025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(+0x25f0) [0x7859510025f0]"
trace-stack seq=12 tag=close frame=1 pc=0x785951002e9a symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(close+0x8a) [0x785951002e9a]"
trace-stack seq=12 tag=close frame=2 pc=0x78594fe92ee8 symbol="/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so(+0x492ee8) [0x78594fe92ee8]"
trace-stack seq=12 tag=close frame=3 pc=0x78594fe94abf symbol="/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so(+0x494abf) [0x78594fe94abf]"
trace-stack seq=12 tag=close frame=4 pc=0x78594fa55711 symbol="/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so(+0x55711) [0x78594fa55711]"
trace-stack seq=12 tag=close frame=5 pc=0x785950fa39cd symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x349cd) [0x785950fa39cd]"
trace-stack seq=12 tag=close frame=6 pc=0x785950b19b28 symbol="/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so(+0x5b28) [0x785950b19b28]"
trace-stack seq=12 tag=close frame=7 pc=0x785950f9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x785950f9e094]"
trace-stack seq=12 tag=close frame=8 pc=0x785950fb4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x785950fb4684]"
trace-stack seq=12 tag=close frame=9 pc=0x572600e6b917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(main+0x177) [0x572600e6b917]"
trace-stack seq=12 tag=close frame=10 pc=0x785950c2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x785950c2a575]"
trace-stack seq=12 tag=close frame=11 pc=0x785950c2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x785950c2a628]"
trace-stack seq=12 tag=close frame=12 pc=0x572600e6c7e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(_start+0x25) [0x572600e6c7e5]"
trace seq=13 t_ns=97003439625592 open64 fd=4 flags=0x0 path="/usr/share/drirc.d/00-radv-defaults.conf"
trace seq=14 t_ns=97003439703773 stack tag=open64 pid=700153 tid=700153 depth=14
trace-stack seq=14 tag=open64 frame=0 pc=0x7859510025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(+0x25f0) [0x7859510025f0]"
trace-stack seq=14 tag=open64 frame=1 pc=0x785951002bdd symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(open64+0xed) [0x785951002bdd]"
trace-stack seq=14 tag=open64 frame=2 pc=0x78594fe92c7d symbol="/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so(+0x492c7d) [0x78594fe92c7d]"
trace-stack seq=14 tag=open64 frame=3 pc=0x78594fe92ee8 symbol="/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so(+0x492ee8) [0x78594fe92ee8]"
trace-stack seq=14 tag=open64 frame=4 pc=0x78594fe94abf symbol="/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so(+0x494abf) [0x78594fe94abf]"
trace-stack seq=14 tag=open64 frame=5 pc=0x78594fa55711 symbol="/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so(+0x55711) [0x78594fa55711]"
trace-stack seq=14 tag=open64 frame=6 pc=0x785950fa39cd symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x349cd) [0x785950fa39cd]"
trace-stack seq=14 tag=open64 frame=7 pc=0x785950b19b28 symbol="/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so(+0x5b28) [0x785950b19b28]"
trace-stack seq=14 tag=open64 frame=8 pc=0x785950f9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x785950f9e094]"
trace-stack seq=14 tag=open64 frame=9 pc=0x785950fb4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x785950fb4684]"
trace-stack seq=14 tag=open64 frame=10 pc=0x572600e6b917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(main+0x177) [0x572600e6b917]"
trace-stack seq=14 tag=open64 frame=11 pc=0x785950c2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x785950c2a575]"
trace-stack seq=14 tag=open64 frame=12 pc=0x785950c2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x785950c2a628]"
trace-stack seq=14 tag=open64 frame=13 pc=0x572600e6c7e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(_start+0x25) [0x572600e6c7e5]"
trace seq=15 t_ns=97003439984703 close fd=4 path="/usr/share/drirc.d/00-radv-defaults.conf"
trace seq=16 t_ns=97003440079405 stack tag=close pid=700153 tid=700153 depth=13
trace-stack seq=16 tag=close frame=0 pc=0x7859510025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(+0x25f0) [0x7859510025f0]"
trace-stack seq=16 tag=close frame=1 pc=0x785951002e9a symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(close+0x8a) [0x785951002e9a]"
trace-stack seq=16 tag=close frame=2 pc=0x78594fe92ee8 symbol="/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so(+0x492ee8) [0x78594fe92ee8]"
trace-stack seq=16 tag=close frame=3 pc=0x78594fe94abf symbol="/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so(+0x494abf) [0x78594fe94abf]"
trace-stack seq=16 tag=close frame=4 pc=0x78594fa55711 symbol="/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so(+0x55711) [0x78594fa55711]"
trace-stack seq=16 tag=close frame=5 pc=0x785950fa39cd symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x349cd) [0x785950fa39cd]"
trace-stack seq=16 tag=close frame=6 pc=0x785950b19b28 symbol="/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so(+0x5b28) [0x785950b19b28]"
trace-stack seq=16 tag=close frame=7 pc=0x785950f9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x785950f9e094]"
trace-stack seq=16 tag=close frame=8 pc=0x785950fb4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x785950fb4684]"
trace-stack seq=16 tag=close frame=9 pc=0x572600e6b917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(main+0x177) [0x572600e6b917]"
trace-stack seq=16 tag=close frame=10 pc=0x785950c2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x785950c2a575]"
trace-stack seq=16 tag=close frame=11 pc=0x785950c2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x785950c2a628]"
trace-stack seq=16 tag=close frame=12 pc=0x572600e6c7e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(_start+0x25) [0x572600e6c7e5]"
trace seq=17 t_ns=97003440319049 open64 fd=4 flags=0x0 path="/usr/share/drirc.d/00-mesa-defaults.conf"
trace seq=18 t_ns=97003440422175 stack tag=open64 pid=700153 tid=700153 depth=14
trace-stack seq=18 tag=open64 frame=0 pc=0x7859510025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(+0x25f0) [0x7859510025f0]"
trace-stack seq=18 tag=open64 frame=1 pc=0x785951002bdd symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(open64+0xed) [0x785951002bdd]"
trace-stack seq=18 tag=open64 frame=2 pc=0x78594e74b23d symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b23d) [0x78594e74b23d]"
trace-stack seq=18 tag=open64 frame=3 pc=0x78594e74b4a8 symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b4a8) [0x78594e74b4a8]"
trace-stack seq=18 tag=open64 frame=4 pc=0x78594e74d07f symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74d07f) [0x78594e74d07f]"
trace-stack seq=18 tag=open64 frame=5 pc=0x78594e078fdb symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x78fdb) [0x78594e078fdb]"
trace-stack seq=18 tag=open64 frame=6 pc=0x785950fa39cd symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x349cd) [0x785950fa39cd]"
trace-stack seq=18 tag=open64 frame=7 pc=0x785950b19b28 symbol="/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so(+0x5b28) [0x785950b19b28]"
trace-stack seq=18 tag=open64 frame=8 pc=0x785950f9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x785950f9e094]"
trace-stack seq=18 tag=open64 frame=9 pc=0x785950fb4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x785950fb4684]"
trace-stack seq=18 tag=open64 frame=10 pc=0x572600e6b917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(main+0x177) [0x572600e6b917]"
trace-stack seq=18 tag=open64 frame=11 pc=0x785950c2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x785950c2a575]"
trace-stack seq=18 tag=open64 frame=12 pc=0x785950c2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x785950c2a628]"
trace-stack seq=18 tag=open64 frame=13 pc=0x572600e6c7e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(_start+0x25) [0x572600e6c7e5]"
trace seq=19 t_ns=97003441591177 close fd=4 path="/usr/share/drirc.d/00-mesa-defaults.conf"
trace seq=20 t_ns=97003441660044 stack tag=close pid=700153 tid=700153 depth=13
trace-stack seq=20 tag=close frame=0 pc=0x7859510025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(+0x25f0) [0x7859510025f0]"
trace-stack seq=20 tag=close frame=1 pc=0x785951002e9a symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(close+0x8a) [0x785951002e9a]"
trace-stack seq=20 tag=close frame=2 pc=0x78594e74b4a8 symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b4a8) [0x78594e74b4a8]"
trace-stack seq=20 tag=close frame=3 pc=0x78594e74d07f symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74d07f) [0x78594e74d07f]"
trace-stack seq=20 tag=close frame=4 pc=0x78594e078fdb symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x78fdb) [0x78594e078fdb]"
trace-stack seq=20 tag=close frame=5 pc=0x785950fa39cd symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x349cd) [0x785950fa39cd]"
trace-stack seq=20 tag=close frame=6 pc=0x785950b19b28 symbol="/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so(+0x5b28) [0x785950b19b28]"
trace-stack seq=20 tag=close frame=7 pc=0x785950f9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x785950f9e094]"
trace-stack seq=20 tag=close frame=8 pc=0x785950fb4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x785950fb4684]"
trace-stack seq=20 tag=close frame=9 pc=0x572600e6b917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(main+0x177) [0x572600e6b917]"
trace-stack seq=20 tag=close frame=10 pc=0x785950c2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x785950c2a575]"
trace-stack seq=20 tag=close frame=11 pc=0x785950c2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x785950c2a628]"
trace-stack seq=20 tag=close frame=12 pc=0x572600e6c7e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(_start+0x25) [0x572600e6c7e5]"
trace seq=21 t_ns=97003441686569 open64 fd=4 flags=0x0 path="/usr/share/drirc.d/00-radv-defaults.conf"
trace seq=22 t_ns=97003441745621 stack tag=open64 pid=700153 tid=700153 depth=14
trace-stack seq=22 tag=open64 frame=0 pc=0x7859510025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(+0x25f0) [0x7859510025f0]"
trace-stack seq=22 tag=open64 frame=1 pc=0x785951002bdd symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(open64+0xed) [0x785951002bdd]"
trace-stack seq=22 tag=open64 frame=2 pc=0x78594e74b23d symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b23d) [0x78594e74b23d]"
trace-stack seq=22 tag=open64 frame=3 pc=0x78594e74b4a8 symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b4a8) [0x78594e74b4a8]"
trace-stack seq=22 tag=open64 frame=4 pc=0x78594e74d07f symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74d07f) [0x78594e74d07f]"
trace-stack seq=22 tag=open64 frame=5 pc=0x78594e078fdb symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x78fdb) [0x78594e078fdb]"
trace-stack seq=22 tag=open64 frame=6 pc=0x785950fa39cd symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x349cd) [0x785950fa39cd]"
trace-stack seq=22 tag=open64 frame=7 pc=0x785950b19b28 symbol="/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so(+0x5b28) [0x785950b19b28]"
trace-stack seq=22 tag=open64 frame=8 pc=0x785950f9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x785950f9e094]"
trace-stack seq=22 tag=open64 frame=9 pc=0x785950fb4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x785950fb4684]"
trace-stack seq=22 tag=open64 frame=10 pc=0x572600e6b917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(main+0x177) [0x572600e6b917]"
trace-stack seq=22 tag=open64 frame=11 pc=0x785950c2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x785950c2a575]"
trace-stack seq=22 tag=open64 frame=12 pc=0x785950c2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x785950c2a628]"
trace-stack seq=22 tag=open64 frame=13 pc=0x572600e6c7e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(_start+0x25) [0x572600e6c7e5]"
trace seq=23 t_ns=97003441929640 close fd=4 path="/usr/share/drirc.d/00-radv-defaults.conf"
trace seq=24 t_ns=97003441987782 stack tag=close pid=700153 tid=700153 depth=13
trace-stack seq=24 tag=close frame=0 pc=0x7859510025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(+0x25f0) [0x7859510025f0]"
trace-stack seq=24 tag=close frame=1 pc=0x785951002e9a symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(close+0x8a) [0x785951002e9a]"
trace-stack seq=24 tag=close frame=2 pc=0x78594e74b4a8 symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74b4a8) [0x78594e74b4a8]"
trace-stack seq=24 tag=close frame=3 pc=0x78594e74d07f symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x74d07f) [0x78594e74d07f]"
trace-stack seq=24 tag=close frame=4 pc=0x78594e078fdb symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x78fdb) [0x78594e078fdb]"
trace-stack seq=24 tag=close frame=5 pc=0x785950fa39cd symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x349cd) [0x785950fa39cd]"
trace-stack seq=24 tag=close frame=6 pc=0x785950b19b28 symbol="/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so(+0x5b28) [0x785950b19b28]"
trace-stack seq=24 tag=close frame=7 pc=0x785950f9e094 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(+0x2f094) [0x785950f9e094]"
trace-stack seq=24 tag=close frame=8 pc=0x785950fb4684 symbol="/lib/x86_64-linux-gnu/libvulkan.so.1(vkCreateInstance+0x2594) [0x785950fb4684]"
trace-stack seq=24 tag=close frame=9 pc=0x572600e6b917 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(main+0x177) [0x572600e6b917]"
trace-stack seq=24 tag=close frame=10 pc=0x785950c2a575 symbol="/lib/x86_64-linux-gnu/libc.so.6(+0x2a575) [0x785950c2a575]"
trace-stack seq=24 tag=close frame=11 pc=0x785950c2a628 symbol="/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x88) [0x785950c2a628]"
trace-stack seq=24 tag=close frame=12 pc=0x572600e6c7e5 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/vk_compute_sentinel(_start+0x25) [0x572600e6c7e5]"
trace seq=25 t_ns=97003443080912 open64 fd=4 flags=0x80002 path="/dev/dri/renderD128"
trace seq=26 t_ns=97003443160369 stack tag=open64 pid=700153 tid=700153 depth=14
trace-stack seq=26 tag=open64 frame=0 pc=0x7859510025f0 symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(+0x25f0) [0x7859510025f0]"
trace-stack seq=26 tag=open64 frame=1 pc=0x785951002bdd symbol="/home/t4ce/REPOS/TRUEOS/.codex_tmp/intel_userland_oracle/smoke-userland/build/libtrueos_ioctl_trace.so(open64+0xed) [0x785951002bdd]"
trace-stack seq=26 tag=open64 frame=2 pc=0x78594e08abfc symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x8abfc) [0x78594e08abfc]"
trace-stack seq=26 tag=open64 frame=3 pc=0x78594e3e08e4 symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x3e08e4) [0x78594e3e08e4]"
trace-stack seq=26 tag=open64 frame=4 pc=0x78594e3e0a02 symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x3e0a02) [0x78594e3e0a02]"
trace-stack seq=26 tag=open64 frame=5 pc=0x78594e3e1592 symbol="/lib/x86_64-linux-gnu/libvulkan_intel.so(+0x3e1592) [0x78594e3e1592]"
